Date,Type,Réf. transaction,Moyen de paiement,Quantité,Unité,Description,Catégorie,SKU,Devise,Prix avant réduction,Réduction,Prix (TTC),Prix (HT),TVA,Taux de TVA,Compte
15 mai 2026 13:03,Vente,TAAA234H9N9,Espèces,"2,195",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"15,36","0,00","15,36","12,80","2,56",20 %,Caissier Frip & Co
15 mai 2026 13:04,Vente,TAAA234KR4Y,Espèces,"3,65",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"25,55","0,00","25,55","21,29","4,26",20 %,Caissier Frip & Co
15 mai 2026 13:04,Vente,TAAA234K6BR,Espèces,"3,715",kg,Chaussures,Ventes Au Kilo,,EUR,"11,14","0,00","11,14","9,28","1,86",20 %,Caissier Frip & Co
15 mai 2026 13:04,Vente,TAAA234K6BR,Espèces,"1,49",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"10,43","0,00","10,43","8,69","1,74",20 %,Caissier Frip & Co
15 mai 2026 13:05,Vente,TAAA234LACD,Espèces,"7,425",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"41,58","0,00","41,58","34,65","6,93",20 %,Caissier Frip & Co
15 mai 2026 13:05,Vente,TAAA234LHHX,Visa - Débit,"1,37",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"9,59","0,00","9,59","7,99","1,60",20 %,Caissier Frip & Co
15 mai 2026 13:06,Vente,TAAA234LUVQ,Visa - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 13:06,Vente,TAAA234LUVQ,Visa - Débit,"6,505",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"36,43","0,00","36,43","30,36","6,07",20 %,Caissier Frip & Co
15 mai 2026 13:06,Vente,TAAA234L2HA,Espèces,"0,52",kg,Chaussures,Ventes Au Kilo,,EUR,"1,56","0,00","1,56","1,30","0,26",20 %,Caissier Frip & Co
15 mai 2026 13:06,Vente,TAAA234L2HA,Espèces,"1,305",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"9,14","0,00","9,14","7,62","1,52",20 %,Caissier Frip & Co
15 mai 2026 13:07,Vente,TAAA234MBVA,Espèces,"5,825",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"32,62","0,00","32,62","27,18","5,44",20 %,Caissier Frip & Co
15 mai 2026 13:07,Vente,TAAA234MBTZ,Visa - Débit,"2,36",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"16,52","0,00","16,52","13,77","2,75",20 %,Caissier Frip & Co
15 mai 2026 13:07,Vente,TAAA234MNMH,Mastercard - Débit,"2,015",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"14,10","0,00","14,10","11,75","2,35",20 %,Caissier Frip & Co
15 mai 2026 13:07,Vente,TAAA234MQFV,Mastercard - Débit,"8,05",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"45,08","0,00","45,08","37,57","7,51",20 %,Caissier Frip & Co
15 mai 2026 13:09,Vente,TAAA234M7VG,Visa - Débit,"9,3",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"52,08","0,00","52,08","43,40","8,68",20 %,Caissier Frip & Co
15 mai 2026 13:09,Vente,TAAA234NMNX,Visa - Débit,"5,375",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"30,10","0,00","30,10","25,08","5,02",20 %,Caissier Frip & Co
15 mai 2026 13:10,Vente,TAAA234NSSP,Visa - Débit,"7,475",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"41,86","0,00","41,86","34,88","6,98",20 %,Caissier Frip & Co
15 mai 2026 13:10,Vente,TAAA234N469,Espèces,"5,33",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"29,85","0,00","29,85","24,88","4,97",20 %,Caissier Frip & Co
15 mai 2026 13:11,Vente,TAAA234PERK,Espèces,"1,025",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"7,18","0,00","7,18","5,98","1,20",20 %,Caissier Frip & Co
15 mai 2026 13:11,Vente,TAAA234PPKH,Visa - Crédit,"5,745",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"32,17","0,00","32,17","26,81","5,36",20 %,Caissier Frip & Co
15 mai 2026 13:12,Vente,TAAA234QCM9,Visa - Crédit,"1,34",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"9,38","0,00","9,38","7,82","1,56",20 %,Caissier Frip & Co
15 mai 2026 13:13,Vente,TAAA234QGLF,Visa - Débit,"2,625",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"18,38","0,00","18,38","15,32","3,06",20 %,Caissier Frip & Co
15 mai 2026 13:13,Vente,TAAA234QPCF,Espèces,"0,565",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"3,96","0,00","3,96","3,30","0,66",20 %,Caissier Frip & Co
15 mai 2026 13:13,Vente,TAAA234QPS9,Visa - Débit,"1,505",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"8,43","0,00","8,43","7,02","1,41",20 %,Caissier Frip & Co
15 mai 2026 13:14,Vente,TAAA234Q349,Visa - Débit,"3,42",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"23,94","0,00","23,94","19,95","3,99",20 %,Caissier Frip & Co
15 mai 2026 13:14,Vente,TAAA234Q6MS,Mastercard - Débit,"3,405",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"23,84","0,00","23,84","19,87","3,97",20 %,Caissier Frip & Co
15 mai 2026 13:15,Vente,TAAA234RNDQ,Visa - Débit,"7,985",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"44,72","0,00","44,72","37,27","7,45",20 %,Caissier Frip & Co
15 mai 2026 13:15,Vente,TAAA234RUUV,Espèces,36,kg,Chaussures,Ventes Au Kilo,,EUR,"108,00","0,00","108,00","90,00","18,00",20 %,Caissier Frip & Co
15 mai 2026 13:19,Vente,TAAA234TS6Y,Espèces,"2,43",kg,Chaussures,Ventes Au Kilo,,EUR,"7,29","0,00","7,29","6,08","1,21",20 %,Caissier Frip & Co
15 mai 2026 13:19,Vente,TAAA234TS6Y,Espèces,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 13:19,Vente,TAAA234TS6Y,Espèces,"6,19",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"34,66","0,00","34,66","28,88","5,78",20 %,Caissier Frip & Co
15 mai 2026 13:19,Vente,TAAA234TS6Y,Espèces,"9,51",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"53,26","0,00","53,26","44,38","8,88",20 %,Caissier Frip & Co
15 mai 2026 13:19,Vente,TAAA234TS6Y,Espèces,"8,76",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"49,06","0,00","49,06","40,88","8,18",20 %,Caissier Frip & Co
15 mai 2026 13:20,Vente,"TAAA234SMEG, TAAA234T2K3","Espèces, Espèces","2,75",kg,Chaussures,Ventes Au Kilo,,EUR,"8,25","0,00","8,25","6,88","1,37",20 %,Caissier Frip & Co
15 mai 2026 13:20,Vente,"TAAA234SMEG, TAAA234T2K3","Espèces, Espèces","14,105",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"78,99","0,00","78,99","65,82","13,17",20 %,Caissier Frip & Co
15 mai 2026 13:20,Vente,TAAA234UAQK,Visa - Débit,"8,445",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"47,29","0,00","47,29","39,41","7,88",20 %,Caissier Frip & Co
15 mai 2026 13:21,Vente,TAAA234UGDG,Mastercard - Débit,"12,525",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"70,14","0,00","70,14","58,45","11,69",20 %,Caissier Frip & Co
15 mai 2026 13:21,Vente,TAAA234UQ2L,Visa - Débit,"0,32",kg,Chaussures,Ventes Au Kilo,,EUR,"0,96","0,00","0,96","0,80","0,16",20 %,Caissier Frip & Co
15 mai 2026 13:21,Vente,TAAA234UQ2L,Visa - Débit,"5,225",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"29,26","0,00","29,26","24,38","4,88",20 %,Caissier Frip & Co
