PAV;Adresse;Complément d'adresse;Code postal;Ville;Latitude (degré décimaux);Longitude (degré décimaux);Communauté de communes;Surface;Reference Eco TLC;Entité détentrice
DÉVILLE-LÈS-ROUEN - 8 Rue De Fontenelle;8 Rue De Fontenelle;;76250;Déville-Lès-Rouen;49.4762554;1.0525354;Métropole Rouen Normandie;Publique;168;Solidarité Textiles
LE GRAND-QUEVILLY - 41 Avenue J. F. Kennedy;41 Avenue J. F. Kennedy;;76120;Le Grand-Quevilly;49.4080799;1.0544188;Métropole Rouen Normandie;Publique;TLC_00067689;Solidarité Textiles
MONT-SAINT-AIGNAN - 27 Boulevard André Siegfried;27 Boulevard André Siegfried;;76130;Mont-Saint-Aignan;49.4574649;1.0640513;Métropole Rouen Normandie;Privée;TLC_03269156;Solidarité Textiles
ROUEN - 46 Rue Desseaux (Proche bac verre);46 Rue Desseaux;Proche bac verre;76000;Rouen;49.4325742;1.0912983;Métropole Rouen Normandie;Publique;TLC_20050800;Solidarité Textiles
LE GRAND-QUEVILLY - 18 Rue Maryse Bastié (Parking école Maryse Bastié);18 Rue Maryse Bastié;Parking école Maryse Bastié;76120;Le Grand-Quevilly;49.4103894;1.0566569;Métropole Rouen Normandie;Publique;TLC_02996116;Solidarité Textiles
LE GRAND-QUEVILLY - 1 Rue Joseph-Jérome De Lalande (Parking);1 Rue Joseph-Jérome De Lalande;Parking;76120;Le Grand-Quevilly;49.4062043;1.0636446;Métropole Rouen Normandie;Publique;TLC_02996117;Solidarité Textiles
ROUEN - 53 rue Desseaux (Resto du Cœur);53 rue Desseaux;Resto du Cœur;76100;Rouen;49.4318405;1.0917689;Métropole Rouen Normandie;Publique;TLC_42723800;Solidarité Textiles
MARTOT - 2 rue de l'Eure (Parking Eglise);2 rue de l'Eure;Parking Eglise;27340;Martot;49.297138;1.0650021;;Publique;TLC_03342991;Lions Club Elbeuf
FRENEUSE - 4 rue Côte aux Blancs;4 rue Côte aux Blancs;;76410;Freneuse;49.3130842;1.0789846;Métropole Rouen Normandie;Publique;TLC_02995403;Lions Club Elbeuf
ROUEN - 2 Rue du Mail (Angle Boulevard de l'Europe);2 Rue du Mail;Angle Boulevard de l'Europe;76000;Rouen;49.4287093;1.0930389;Métropole Rouen Normandie;Publique;TLC_20050400;Solidarité Textiles
ROUEN - 137 Route de Darnétal;137 Route de Darnétal;;76000;Rouen;49.440485;1.1264055;Métropole Rouen Normandie;Publique;TLC_02997388;Solidarité Textiles
ROUEN - 37 Rue de l'Enseigne Renaud (Angle Chemin de l'école Jules Ferry);37 Rue de l'Enseigne Renaud;Angle Chemin de l'école Jules Ferry;76000;Rouen;49.4349673;1.123745;Métropole Rouen Normandie;Publique;TLC_20051300;Solidarité Textiles
ROUEN - 5 place Saint Hilaire (Rond point Saint Hilaire);5 place Saint Hilaire;Rond point Saint Hilaire;76000;Rouen;49.4423987;1.1122919;Métropole Rouen Normandie;Publique;TLC_20051700;Solidarité Textiles
ROUEN - 49 Boulevard de Verdun (Au pied du Monumental);49 Boulevard de Verdun;Au pied du Monumental;76000;Rouen;49.4454662;1.108453;Métropole Rouen Normandie;Publique;TLC_10142500;Solidarité Textiles
ROUEN - 14 Place du Boulingrin (Angle Rampe Beauvoisine);14 Place du Boulingrin;Angle Rampe Beauvoisine;76000;Rouen;49.4473698;1.1064779;Métropole Rouen Normandie;Publique;TLC_10142800;Solidarité Textiles
ROUEN - 49 Rue de Bihorel (Angle rue Jouvenet);49 Rue de Bihorel;Angle rue Jouvenet;76000;Rouen;49.4498315;1.1035948;Métropole Rouen Normandie;Publique;TLC_20051000;Solidarité Textiles
ROUEN - 19 rue Charles de Beaurepaire (Angle Côte de Neufchâtel);19 rue Charles de Beaurepaire;Angle Côte de Neufchâtel;76000;Rouen;49.4524778;1.0981059;Métropole Rouen Normandie;Publique;TLC_10142600;Solidarité Textiles
ROUEN - Rue Sénard (En face du 13 rue sénard);Rue Sénard;En face du 13 rue sénard;76000;Rouen;;;Métropole Rouen Normandie;Publique;TLC_10143700;Solidarité Textiles
ROUEN - 86 Boulevard de l'Yser;86 Boulevard de l'Yser;;76000;Rouen;49.44734459362683;1.0954728324888219;Métropole Rouen Normandie;Publique;TLC_10142900;Solidarité Textiles
ROUEN - 27 Rue Verte (Gare);27 Rue Verte;Gare;76000;Rouen;49.4487775;1.0931311;Métropole Rouen Normandie;Publique;TLC_02996124;Solidarité Textiles
ROUEN - 44 Boulevard de la Marne (Angle Rampe Bouvreuil);44 Boulevard de la Marne;Angle Rampe Bouvreuil;76000;Rouen;49.4469485;1.0920252;Métropole Rouen Normandie;Publique;TLC_10143000;Solidarité Textiles
ROUEN - 59 Rue Crevier (Angle rue d'Herbouville);59 Rue Crevier;Angle rue d'Herbouville;76000;Rouen;49.449081;1.086073;Métropole Rouen Normandie;Publique;TLC_10143500;Solidarité Textiles
ROUEN - 15 Rue Tabouret (Angle rue de la Cavée St Gervais);15 Rue Tabouret;Angle rue de la Cavée St Gervais;76000;Rouen;49.449783;1.0840698;Métropole Rouen Normandie;Publique;TLC_10143900;Solidarité Textiles
ROUEN - 29 Rue George d'Ambroise (Angle rue Duguay Trouin);29 Rue George d'Ambroise;Angle rue Duguay Trouin;76000;Rouen;49.4430129;1.0808909;Métropole Rouen Normandie;Publique;TLC_10144600;Solidarité Textiles
ROUEN - 65 Rue Saint Maur (Angle rue Maladrerie);65 Rue Saint Maur;Angle rue Maladrerie;76000;Rouen;49.4513399;1.0878016;Métropole Rouen Normandie;Publique;TLC_10143600;Solidarité Textiles
ROUEN - 3 Place Eglise Saint Gervais;3 Place Eglise Saint Gervais;;76000;Rouen;49.4493018;1.0820767;Métropole Rouen Normandie;Publique;TLC_10144000;Solidarité Textiles
ROUEN - 23 rue Guillaume d'Estouteville;23 rue Guillaume d'Estouteville;;76000;Rouen;49.452936;1.0699945;Métropole Rouen Normandie;Publique;TLC_10144100;Solidarité Textiles
ROUEN - 43 Rue Stanislas Girardin (Angle rue A. Flaubert);43 Rue Stanislas Girardin;Angle rue A. Flaubert;76000;Rouen;49.4472438;1.0805579;Métropole Rouen Normandie;Publique;TLC_10144400;Solidarité Textiles
SAINT-ÉTIENNE-DU-ROUVRAY - 135 rue du Madrillet (Bâtiment AFPA);135 rue du Madrillet;Bâtiment AFPA;76800;Saint-Étienne-du-Rouvray;49.3909564;1.0731051;Métropole Rouen Normandie;Privée;TLC_03479474;Solidarité Textiles
CANTELEU - 1 Avenue Charles Gounod (En face du collège);1 Avenue Charles Gounod;En face du collège;76380;Canteleu;49.4544441;1.0323677;Métropole Rouen Normandie;Privée - Habitat 76;2019_N3;Solidarité Textiles
SAINT-PAËR - 119 Route de Duclair (Après le croisement Rue de l'église à coté des bacs à verre);119 Route de Duclair;Après le croisement Rue de l'église à coté des bacs à verre;76480;Saint-Paër;49.5155313;0.880296;Métropole Rouen Normandie;Publique;TLC_12137820;Solidarité Textiles
SAINT-PIERRE-DE-VARENGEVILLE - 240 Rue de la Paix (Parking du Cimetière);240 Rue de la Paix;Parking du Cimetière;76480;Saint-Pierre-De-Varengeville;49.5016503;0.9217114;Métropole Rouen Normandie;Publique;TLC_00017955;Solidarité Textiles
CANTELEU - 7 Rue Alexandre Dumas;7 Rue Alexandre Dumas;;76380;Canteleu;49.4438684;1.0322824;Métropole Rouen Normandie;Privée - Habitat 76;2019_N2;Solidarité Textiles
CANTELEU - 36 Avenue de Versailles;36 Avenue de Versailles;;76380;Canteleu;49.446971;1.035878;Métropole Rouen Normandie;Privée - Habitat 76;2019_N1;Solidarité Textiles
LA VAUPALIÈRE - 133 rue de l'Eglise (Parking en face de l'Espace WAPALLERIA);133 rue de l'Eglise;Parking en face de l'Espace WAPALLERIA;76150;La Vaupalière;49.4895761;0.9990714;;Publique;TLC_00017958;Solidarité Textiles
POMMEREVAL - 989 Route de l'Eglise;989 Route de l'Eglise;;76680;Pommereval;49.740456;1.319002;;Publique;TLC_12138030;Solidarité Textiles
"ARDOUVAL - 4 Rue des Bouleaux (Suivre panneau ""Foyer des Jeunes"")";4 Rue des Bouleaux;"Suivre panneau ""Foyer des Jeunes""";76680;Ardouval;49.746722;1.273509;;Publique;TLC_12138010;Solidarité Textiles
BELLENCOMBRE - 2 bis Chemin du Cimetière;2 bis Chemin du Cimetière;;76680;Bellencombre;49.7067743;1.2251442;;Publique;TLC_12138040;Solidarité Textiles
COTTEVRARD - 77 Place de l'Eglise (En face de l'église - Parking au fond);77 Place de l'Eglise;En face de l'église - Parking au fond;76850;Cottevrard;49.6318038;1.2212548;;Publique;TLC_12138060;Solidarité Textiles
BOSC LE HARD - 159 Rue des Forges;159 Rue des Forges;;76850;Bosc Le Hard;49.6290962;1.1776388;;Publique;TLC_12138070;Solidarité Textiles
YERVILLE - 3 Place Bernard Alexandre;3 Place Bernard Alexandre;;76760;Yerville;49.669995;0.8992293;;Publique;TLC_12138120;Solidarité Textiles
VIBEUF - 25 rue de la Mare des Champs (Entrée parking communal);25 rue de la Mare des Champs;Entrée parking communal;76760;Vibeuf;49.693223;0.9027505;;Publique;TLC_12138130;Solidarité Textiles
ETOUTTEVILLE - 520 rue du Prieuré (Parking);520 rue du Prieuré;Parking;76190;Etoutteville;49.6758125;0.7899252;;Publique;TLC_12138080;Solidarité Textiles
FLAMANVILLE - 1 Rue de l'Eglise (Intersection Rue de l'Ecole);1 Rue de l'Eglise;Intersection Rue de l'Ecole;76970;Flamanville;49.63501511998083;0.8386936533035305;;Publique;TLC_12138100;Solidarité Textiles
MOTTEVILLE - 156 Rue de la Gare (Face à la gare);156 Rue de la Gare;Face à la gare;76970;Motteville;49.6372744;0.8497941;;Publique;TLC_12138090;Solidarité Textiles
CIDEVILLE - 55 rue du Centre (A côté du garage et bacs verre);55 rue du Centre;A côté du garage et bacs verre;76570;Cideville;49.6154562;0.8944882;;Publique;TLC_12138110;Solidarité Textiles
MAROMME - 13 Route de Duclair (Parking Signa);13 Route de Duclair;Parking Signa;76150;Maromme;49.478762680186776;1.023723836245729;Métropole Rouen Normandie;Publique;TLC_12137800;Solidarité Textiles
MAROMME - 2 Rue de Binche (Parking école Delbos);2 Rue de Binche;Parking école Delbos;76150;Maromme;49.474356;1.0413057;Métropole Rouen Normandie;Publique;TLC_12137790;Solidarité Textiles
PETIT-COURONNE - 220 Rue Du 14 Juillet (Croisement rue du Pommeret);220 Rue Du 14 Juillet;Croisement rue du Pommeret;76650;Petit-Couronne;49.3838783;1.028463;Métropole Rouen Normandie;Publique;2019_N8;Solidarité Textiles
PETIT-COURONNE - 44 Place Pierre Mendès France (Parking Coccinelle);44 Place Pierre Mendès France;Parking Coccinelle;76650;Petit-Couronne;49.3884892;1.0376402;Métropole Rouen Normandie;Parking CC;2019_N7;Solidarité Textiles
GRAND-COURONNE - 5 Allée de la Côté Mutel (Déchetterie - 9h / 12h - 14h - 17h30);5 Allée de la Côté Mutel;Déchetterie - 9h / 12h - 14h - 17h30;76530;Grand-Couronne;49.3667909;1.0150717;Métropole Rouen Normandie;Privée - Déchetterie;TLC_00055775;Solidarité Textiles
ROUEN - 84 Rue du Renard (Ecole Achille Lefort);84 Rue du Renard;Ecole Achille Lefort;76000;Rouen;49.448144;1.080758;Métropole Rouen Normandie;Publique;TLC_10144300;Solidarité Textiles
ROUEN - 1 Place de la Madeleine (Angle rue Constantine);1 Place de la Madeleine;Angle rue Constantine;76000;Rouen;49.4455345;1.0788793;Métropole Rouen Normandie;Publique;TLC_10144500;Solidarité Textiles
ROUEN - Avenue des Martyrs (Angle rue Linné);Avenue des Martyrs;Angle rue Linné;76000;Rouen;;;;Publique;TLC_20051100;Solidarité Textiles
ROUEN - 79 Rue Amédée Dormoy (A coté de l'entrée Intermarché);79 Rue Amédée Dormoy;A coté de l'entrée Intermarché;76000;Rouen;49.4499497;1.0665611;Métropole Rouen Normandie;Publique;TLC_10144700;Solidarité Textiles
ROUEN - 10 Rue Moise;10 Rue Moise;;76000;Rouen;49.451788;1.064157;Métropole Rouen Normandie;Publique;TLC_20051500;Solidarité Textiles
ROUEN - 145 Boulevard Jean Jaurès (Face au n°306);145 Boulevard Jean Jaurès;Face au n°306;76000;Rouen;49.4527917;1.058519;Métropole Rouen Normandie;Publique;TLC_10144800;Solidarité Textiles
ROUEN - 2 rue du Loup;2 rue du Loup;;76000;Rouen;49.453197;1.05537;Métropole Rouen Normandie;Publique;TLC_10144900;Solidarité Textiles
LE HOULME - 73 A rue du Général de Gaulle (Devant l'Association);73 A rue du Général de Gaulle;Devant l'Association;76770;Le Houlme;49.501335;1.042073;Métropole Rouen Normandie;Publique;TLC_02995133;Solidarité Textiles
