Rayon;Date;Num_Ticket;ID Article;Article;Quantite;Prix U. TTC;Total HT;Total TTC;Montant TVA;Taux TVA
FEMME;21/04/2026 12:40:08;13764;70;BLOUSE FEMME;1;4;3.333333;4;0.666667;20
ENFANTS;21/04/2026 12:43:00;13765;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:43:06;13765;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
FEMME;21/04/2026 13:19:13;13766;24;PANTALON FEMME;1;5;4.166667;5;0.833333;20
FEMME;21/04/2026 13:19:21;13766;24;PANTALON FEMME;1;5;4.166667;5;0.833333;20
FEMME;21/04/2026 13:19:28;13766;24;PANTALON FEMME;1;5;4.166667;5;0.833333;20
FEMME;21/04/2026 13:19:38;13766;24;PANTALON FEMME;1;5;4.166667;5;0.833333;20
PRIX RONDS;21/04/2026 14:43:34;13767;48;PRIX RONDS;1;0.5;0.416667;0.5;0.083333;20
FEMME;21/04/2026 14:43:55;13767;61;TEE SHIRT ML FEMME;1;6;5;6;1;20
PRIX RONDS;21/04/2026 15:00:10;13768;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
FEMME;21/04/2026 15:00:43;13768;83;COMBI PANTALON FEMME;1;8;6.666667;8;1.333333;20
FEMME;21/04/2026 15:01:00;13768;24;PANTALON FEMME;1;5;4.166667;5;0.833333;20
FEMME;21/04/2026 15:01:19;13768;23;GILET FEMME;1;7;5.833333;7;1.166667;20
PRIX RONDS;21/04/2026 15:01:33;13768;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
FEMME;21/04/2026 15:01:51;13768;25;ACCESSOIRE FEMME;1;0.5;0.416667;0.5;0.083333;20
KINTSU;21/04/2026 15:02:04;13768;31;KINTSU;1;1;1;1;0;0
LAYETTES;21/04/2026 15:23:04;13769;21;BODY LAY.;1;0.5;0.416667;0.5;0.083333;20
LAYETTES;21/04/2026 15:23:13;13769;19;ENS. PYJAMA LAY.;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 15:23:20;13769;19;ENS. PYJAMA LAY.;1;2;1.666667;2;0.333333;20
OPERATION;21/04/2026 15:23:31;13769;50;OPERATION;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 15:23:37;13769;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
OPERATION;21/04/2026 15:23:46;13769;50;OPERATION;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 15:23:58;13769;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 15:32:36;13770;18;CHAUSSURES LAY.;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 15:32:48;13770;1;MANCHE LONGUE ENF;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 15:33:04;13770;2;MANCHE COURTE ENF;1;8;6.666667;8;1.333333;20
